ranking,waku,umaban,bamei,bamei_url,sexage,handicap,jockey,jockey_url,racetime,difference,popular,odds,furlong3,corner_rank,stable,trainer,trainer_url,weight,weight_change,race_id
11,4,7,オリベ,https://db.netkeiba.com/horse/2019101086,牡2,55.0,原田和,https://db.netkeiba.com/jockey/01143/,1:10.6,2,14,352.0,35.3,9-9,美浦,伊藤大,https://db.netkeiba.com/trainer/01109/,476,-4,202106040802
12,7,13,サリーチャン,https://db.netkeiba.com/horse/2019107032,牝2,51.0,▲小林凌,https://db.netkeiba.com/jockey/01177/,1:10.6,ハナ,11,229.0,35.1,10-12,美浦,石栗,https://db.netkeiba.com/trainer/01043/,458,0,202106040802
13,1,2,トリップダンサー,https://db.netkeiba.com/horse/2019103799,牡2,55.0,柴田大,https://db.netkeiba.com/jockey/01009/,1:10.7,1/2,13,311.1,34.8,13-13,美浦,萱野,https://db.netkeiba.com/trainer/01024/,434,0,202106040802
14,6,11,スターソルジャー,https://db.netkeiba.com/horse/2019100500,牡2,53.0,◇藤田菜,https://db.netkeiba.com/jockey/01164/,1:10.9,1.1/4,10,184.8,34.7,14-14,美浦,根本,https://db.netkeiba.com/trainer/01029/,430,+12,202106040802
15,3,5,リネンエール,https://db.netkeiba.com/horse/2019101382,牝2,54.0,丸田,https://db.netkeiba.com/jockey/01117/,1:13.1,大,15,361.2,35.9,15-15,美浦,加藤和,https://db.netkeiba.com/trainer/01077/,476,0,202106040802
16,2,4,グルマンド,https://db.netkeiba.com/horse/2019106138,牡2,55.0,菅原隆,https://db.netkeiba.com/jockey/01129/,1:13.2,3/4,12,284.1,35.7,16-15,美浦,石栗,https://db.netkeiba.com/trainer/01043/,416,+2,202106040802
1,2,3,ワカミヤプレスト,https://db.netkeiba.com/horse/2019104546,牡2,55.0,勝浦,https://db.netkeiba.com/jockey/01025/,1:52.7,,8,38.2,37.9,12-11-9-5,美浦,稲垣,https://db.netkeiba.com/trainer/01167/,496,-2,202106040803
2,5,9,サトミノマロン,https://db.netkeiba.com/horse/2019101661,牡2,55.0,横山武,https://db.netkeiba.com/jockey/01170/,1:52.9,1.1/4,2,5.2,38.8,4-4-3-3,美浦,鈴木伸,https://db.netkeiba.com/trainer/01026/,524,-6,202106040803
3,7,14,セイカフォルゴーレ,https://db.netkeiba.com/horse/2019101923,牡2,55.0,津村,https://db.netkeiba.com/jockey/01092/,1:53.2,2,1,2.0,39.3,2-2-2-1,美浦,相沢,https://db.netkeiba.com/trainer/01020/,500,-2,202106040803
4,5,10,クルル,https://db.netkeiba.com/horse/2019106842,牡2,54.0,☆木幡育,https://db.netkeiba.com/jockey/01167/,1:54.0,5,7,35.1,39.4,8-7-7-5,美浦,大江原,https://db.netkeiba.com/trainer/01012/,486,0,202106040803
5,8,16,ブレイクフォース,https://db.netkeiba.com/horse/2019105604,牡2,52.0,▲永野,https://db.netkeiba.com/jockey/01188/,1:54.4,2.1/2,14,297.0,39.4,15-14-11-9,美浦,中舘,https://db.netkeiba.com/trainer/01153/,484,-4,202106040803
6,1,2,コパノカールトン,https://db.netkeiba.com/horse/2019105708,牡2,55.0,石橋脩,https://db.netkeiba.com/jockey/01077/,1:54.4,アタマ,10,41.0,40.3,9-9-3-3,美浦,手塚,https://db.netkeiba.com/trainer/01038/,536,0,202106040803
7,7,13,テイエムアジアダン,https://db.netkeiba.com/horse/2019106554,牡2,55.0,菊沢,https://db.netkeiba.com/jockey/01161/,1:54.5,クビ,5,13.7,39.1,14-14-16-11,美浦,石栗,https://db.netkeiba.com/trainer/01043/,516,0,202106040803
8,6,12,ネルガル,https://db.netkeiba.com/horse/2019100328,牡2,55.0,武士沢,https://db.netkeiba.com/jockey/01029/,1:54.6,1,15,326.5,39.4,15-16-13-10,美浦,古賀史,https://db.netkeiba.com/trainer/00392/,470,0,202106040803
9,4,7,ダイナマイトベルン,https://db.netkeiba.com/horse/2019104029,牡2,55.0,横山和,https://db.netkeiba.com/jockey/01140/,1:55.0,2.1/2,12,71.5,40.9,3-3-3-5,美浦,加藤士,https://db.netkeiba.com/trainer/01169/,486,0,202106040803
10,1,1,キガサ,https://db.netkeiba.com/horse/2019100275,牝2,54.0,戸崎圭,https://db.netkeiba.com/jockey/05386/,1:55.1,1/2,6,14.2,40.6,6-6-6-8,美浦,堀井,https://db.netkeiba.com/trainer/00436/,444,0,202106040803
11,8,15,グリーンライズ,https://db.netkeiba.com/horse/2019102421,牡2,52.0,▲横山琉,https://db.netkeiba.com/jockey/01192/,1:55.4,1.1/2,9,39.1,40.4,9-9-11-11,美浦,和田雄,https://db.netkeiba.com/trainer/01143/,452,+6,202106040803
12,4,8,タクティーレン,https://db.netkeiba.com/horse/2019104474,牡2,53.0,△秋山稔,https://db.netkeiba.com/jockey/01181/,1:55.5,3/4,16,329.8,40.3,12-13-13-11,美浦,田島,https://db.netkeiba.com/trainer/01112/,510,-10,202106040803
13,3,5,エコロドラゴン,https://db.netkeiba.com/horse/2019106062,牡2,55.0,木幡巧,https://db.netkeiba.com/jockey/01162/,1:55.8,2,3,8.6,42.0,1-1-1-2,美浦,岩戸,https://db.netkeiba.com/trainer/01051/,542,0,202106040803
14,6,11,グルートン,https://db.netkeiba.com/horse/2019100803,牡2,55.0,柴田大,https://db.netkeiba.com/jockey/01009/,1:57.7,大,4,10.5,42.9,6-7-9-11,美浦,和田勇,https://db.netkeiba.com/trainer/01165/,478,+12,202106040803
15,3,6,サパテアール,https://db.netkeiba.com/horse/2019102514,牡2,55.0,丹内,https://db.netkeiba.com/jockey/01091/,1:58.0,2,13,98.2,43.4,4-4-7-11,美浦,畠山,https://db.netkeiba.com/trainer/01048/,504,+6,202106040803
16,2,4,ウィンターアゲイン,https://db.netkeiba.com/horse/2019106258,牡2,55.0,三浦,https://db.netkeiba.com/jockey/01122/,1:58.9,5,11,46.5,43.7,11-11-13-16,美浦,小笠,https://db.netkeiba.com/trainer/01076/,448,-8,202106040803
1,6,11,レヴァンジル,https://db.netkeiba.com/horse/2019105315,牡2,55.0,ルメー,https://db.netkeiba.com/jockey/05339/,2:00.6,,2,3.8,34.4,4-4-4-2,美浦,堀,https://db.netkeiba.com/trainer/01070/,470,+2,202106040804
